"GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
2476.9599609375,2519.48999023438,2467.46997070312,2510.03002929688,3733160000,2510.03002929688
2491.919921875,2493.13989257812,2443.9599609375,2447.88989257812,3858830000,2447.88989257812
2474.330078125,2538.07006835938,2474.330078125,2531.93994140625,4234140000,2531.93994140625
2535.61010742188,2566.15991210938,2524.56005859375,2549.68994140625,4133120000,2549.68994140625
2568.11010742188,2579.82006835938,2547.56005859375,2574.40991210938,4120060000,2574.40991210938
2580,2595.32006835938,2568.88989257812,2584.9599609375,4088740000,2584.9599609375
2573.51000976562,2597.82006835938,2562.02001953125,2596.63989257812,3721300000,2596.63989257812
2588.11010742188,2596.27001953125,2577.39990234375,2596.26000976562,3447460000,2596.26000976562
2580.31005859375,2589.32006835938,2570.40991210938,2582.61010742188,3689370000,2582.61010742188
2585.10009765625,2613.080078125,2585.10009765625,2610.30004882812,3601180000,2610.30004882812
2614.75,2625.76000976562,2612.67993164062,2616.10009765625,3882180000,2616.10009765625
2609.28002929688,2645.06005859375,2606.36010742188,2635.9599609375,3802410000,2635.9599609375
2651.27001953125,2675.46997070312,2647.580078125,2670.7099609375,4009010000,2670.7099609375
2657.8798828125,2657.8798828125,2617.27001953125,2632.89990234375,3923950000,2632.89990234375
2643.47998046875,2653.18994140625,2612.86010742188,2638.69995117188,3358770000,2638.69995117188
2638.84008789062,2647.19995117188,2627.01000976562,2642.330078125,3449230000,2642.330078125
2657.43994140625,2672.3798828125,2657.330078125,2664.76000976562,3.821e+09,2664.76000976562
2644.96997070312,2644.96997070312,2624.06005859375,2643.85009765625,3630820000,2643.85009765625
2644.88989257812,2650.92993164062,2631.05004882812,2640,3518070000,2640
2653.6201171875,2690.43994140625,2648.34008789062,2681.05004882812,3883270000,2681.05004882812
2685.48999023438,2708.94995117188,2678.64990234375,2704.10009765625,4953800000,2704.10009765625
2702.32006835938,2716.65991210938,2696.8798828125,2706.53002929688,3782490000,2706.53002929688
2706.48999023438,2724.98999023438,2698.75,2724.8701171875,3369450000,2724.8701171875
2728.34008789062,2738.97998046875,2724.03002929688,2737.69995117188,3597620000,2737.69995117188
2735.05004882812,2738.080078125,2724.14990234375,2731.61010742188,3486590000,2731.61010742188
2717.53002929688,2719.32006835938,2687.26000976562,2706.05004882812,4114040000,2706.05004882812
2692.36010742188,2708.07006835938,2681.830078125,2707.8798828125,3649510000,2707.8798828125
2712.39990234375,2718.05004882812,2703.7900390625,2709.80004882812,3395330000,2709.80004882812
2722.61010742188,2748.18994140625,2722.61010742188,2744.72998046875,3843020000,2744.72998046875
2750.30004882812,2761.85009765625,2748.6298828125,2753.03002929688,3684910000,2753.03002929688
2743.5,2757.89990234375,2731.22998046875,2745.72998046875,3845390000,2745.72998046875
2760.23999023438,2775.65991210938,2760.23999023438,2775.60009765625,3648680000,2775.60009765625
2769.28002929688,2787.330078125,2767.2900390625,2779.76000976562,3535270000,2779.76000976562
2779.05004882812,2789.8798828125,2774.06005859375,2784.69995117188,3904830000,2784.69995117188
2780.23999023438,2781.580078125,2764.55004882812,2774.8798828125,3598260000,2774.8798828125
2780.669921875,2794.19995117188,2779.11010742188,2792.669921875,3429350000,2792.669921875
2804.35009765625,2813.48999023438,2794.98999023438,2796.11010742188,3860260000,2796.11010742188
2792.36010742188,2803.1201171875,2789.46997070312,2793.89990234375,3676200000,2793.89990234375
2787.5,2795.76000976562,2775.1298828125,2792.3798828125,3771790000,2792.3798828125
2788.11010742188,2793.72998046875,2782.51000976562,2784.48999023438,4445780000,2784.48999023438
2798.21997070312,2808.02001953125,2787.3798828125,2803.68994140625,3994950000,2803.68994140625
2814.3701171875,2816.8798828125,2767.65991210938,2792.81005859375,3949730000,2792.81005859375
2794.40991210938,2796.43994140625,2782.96997070312,2789.64990234375,3631380000,2789.64990234375
2790.27001953125,2790.27001953125,2768.68994140625,2771.44995117188,3800180000,2771.44995117188
2766.53002929688,2767.25,2739.09008789062,2748.92993164062,3932150000,2748.92993164062
2730.7900390625,2744.1298828125,2722.27001953125,2743.07006835938,3424300000,2743.07006835938
2747.61010742188,2784,2747.61010742188,2783.30004882812,3764850000,2783.30004882812
2787.34008789062,2798.32006835938,2786.72998046875,2791.52001953125,3432340000,2791.52001953125
2799.78002929688,2821.23999023438,2799.78002929688,2810.919921875,3782250000,2810.919921875
2810.3798828125,2815,2803.4599609375,2808.47998046875,3505670000,2808.47998046875
2810.7900390625,2830.72998046875,2810.7900390625,2822.47998046875,5969780000,2822.47998046875
2822.61010742188,2835.40991210938,2821.98999023438,2832.93994140625,3620770000,2832.93994140625
2840.76000976562,2852.419921875,2823.27001953125,2832.57006835938,3650740000,2832.57006835938
2831.34008789062,2843.5400390625,2812.42993164062,2824.22998046875,3779160000,2824.22998046875
2819.71997070312,2860.31005859375,2817.3798828125,2854.8798828125,3612620000,2854.8798828125
2844.52001953125,2846.15991210938,2800.46997070312,2800.7099609375,4253730000,2800.7099609375
2796.01000976562,2809.7900390625,2785.02001953125,2798.36010742188,3406110000,2798.36010742188
2812.65991210938,2829.8701171875,2803.98999023438,2818.4599609375,3288570000,2818.4599609375
2819.71997070312,2825.56005859375,2787.71997070312,2805.3701171875,3422400000,2805.3701171875
2809.39990234375,2819.7099609375,2798.77001953125,2815.43994140625,3185460000,2815.43994140625
2828.27001953125,2836.03002929688,2819.22998046875,2834.39990234375,3752520000,2834.39990234375
2848.6298828125,2869.39990234375,2848.6298828125,2867.18994140625,3560090000,2867.18994140625
