month,rp_div,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl
1958-02-01,0.02808492469990521,-3.1349042822367412,-3.1557434177450325,-2.5413060039730717,-0.5935982782636697,7.362477e-4,0.6473904346,0.0277510802,0.0153,0.0325,0.01,0.0172,0.010700000000000001,0
1958-03-01,0.02899367997466513,-3.1690681941025978,-3.138682446710727,-2.595824940768174,-0.5732432533344242,5.192057e-4,0.6685916376,0.0289353475,0.013,0.0321,0.0102,0.0191,0.010500000000000002,0.006993007
1958-04-01,0.012887430398871415,-3.20794362658848,-3.1766106916511356,-2.6497031140265745,-0.5582405125619055,7.467616e-4,0.6552450314,0.0270182768,0.0113,0.0311,0.0186,0.019799999999999998,0.010700000000000001,0.0034722222
1958-05-01,0.024198243864381064,-3.2304531306028137,-3.2156008068586477,-2.6876207107017365,-0.5428324199010772,4.331172e-4,0.6455586773,0.0228695103,0.0091,0.0313,1e-4,0.0222,0.010499999999999995,0
1958-06-01,0.03997745566579487,-3.2638602427382324,-3.238111590860159,-2.736979228218944,-0.5268810145192885,4.382024e-4,0.6246601698,0.0214366176,0.0083,0.0324,-0.016,0.024099999999999996,0.009799999999999996,0
1958-07-01,0.010982316683988238,-3.306060597228609,-3.2638602427382324,-2.7848955464520153,-0.5211650507765934,6.956246e-4,0.5938487843,0.0169337992,0.0091,0.0343,-0.0278,0.025199999999999997,0.008599999999999997,0.0034602076
1958-08-01,0.043730335628432655,-3.3178576584170516,-3.306060597228609,-2.8024069089038965,-0.5154507495131547,5.889619e-4,0.5872638264,0.015090629,0.0169,0.0371,-0.0435,0.020200000000000003,0.008199999999999999,-0.0034482759
1958-09-01,0.02255415050550001,-3.3651008774939406,-3.3178576584170516,-2.855431991855774,-0.5096688856381669,5.101803e-4,0.5613711966,0.0139834782,0.0244,0.038,-0.0117,0.013599999999999998,0.007800000000000001,0
1958-10-01,0.020461697042581606,-3.38628861580128,-3.3612355252326966,-2.8793399050570003,-0.5069487107442797,7.93475e-4,0.5498692979,0.0122789133,0.0263,0.0374,0.0138,0.011100000000000002,0.008100000000000003,0
1958-11-01,0.04704097819167108,-3.404652275868801,-3.382495507805179,-2.900318163452159,-0.5043341124166423,0.0015302103,0.5358231981,0.0115349437,0.0267,0.0368,0.012,0.010099999999999998,0.007800000000000001,0.0034602076
1958-12-01,0.0016994075559866747,-3.4515283083605306,-3.400816356700411,-2.9498875941716127,-0.5016407141889181,7.127719e-4,0.5117793198,0.0236868316,0.0277,0.0382,-0.0181,0.010499999999999999,0.0076999999999999985,-0.0034482759
1959-01-01,-0.0019576638331635305,-3.451503490397632,-3.447707047258753,-2.9286370272343203,-0.5228664631633116,5.84868e-4,0.5028958179,0.0277362661,0.0282,0.0408,-0.008,0.012600000000000004,0.0075,0.0034602076
1959-02-01,-0.0015558814548192177,-3.447573029447517,-3.447753486003091,-2.9039886833873387,-0.5435843460601787,8.447335e-4,0.4949461475,0.0278988473,0.027,0.0402,0.0117,0.0132,0.0075,-0.0034482759
1959-03-01,0.035006752166551434,-3.4443218082959097,-3.44378053629352,-2.8806786286905046,-0.563643179605405,4.915081e-4,0.5168602815,0.0249843896,0.028,0.0403,0.0017,0.012300000000000002,0.007199999999999998,0
1959-04-01,0.016105522750159085,-3.478591230458858,-3.4405436438219246,-2.8881065705527083,-0.5904846599061495,4.925502e-4,0.4985971944,0.0243605696,0.0295,0.0414,-0.0117,0.0119,0.0063,0.0034602076
1959-05-01,-0.005864915899740328,-3.4936333727984508,-3.4748833610422505,-2.877176984469263,-0.6164563883291876,4.278009e-4,0.4830767797,0.0258872339,0.0284,0.0417,-5e-4,0.0133,0.0058999999999999955,0
1959-06-01,0.030903550251460334,-3.4862981823349153,-3.4898833334221178,-2.844738370565463,-0.641559811769452,9.150702e-4,0.4832193909,0.0268820744,0.0321,0.0419,0.001,0.009800000000000003,0.0058,0.0034482759
1959-07-01,-0.016503581798108506,-3.5168569916778405,-3.4825621532311897,-2.8760963493388045,-0.6407606423390361,4.87796e-4,0.4608226648,0.0271413721,0.032,0.0417,0.006,0.0097,0.006100000000000001,0.0034364261
1959-08-01,-0.04828942997423424,-3.498037254340215,-3.5131903209031408,-2.8580150229967902,-0.640022231343425,0.0010696993,0.4680844659,0.0281461307,0.0338,0.0423,-0.0041,0.0085,0.006600000000000002,0
1959-09-01,0.007963138037226054,-3.4476169402172507,-3.49432872879357,-2.8083835243171364,-0.6392334159001142,0.0017098448,0.4923378926,0.0305283913,0.0404,0.0429,-0.0057,0.0025000000000000022,0.006600000000000002,0.0034246575
1959-10-01,0.010240121085069694,-3.455111044950229,-3.4439221170324226,-2.823457540446513,-0.6316535045037158,6.181833e-4,0.4809774204,0.0310201805,0.0405,0.0421,0.015,0.0015999999999999973,0.007100000000000002,0.0034129693
1959-11-01,0.02314904590734118,-3.464610935263982,-3.4514846673497694,-2.8405134321857988,-0.6240975030781833,4.996927e-4,0.4717982949,0.0297223804,0.0415,0.0432,-0.0119,0.0017000000000000001,0.006999999999999999,0
1959-12-01,-0.0745229461551419,-3.488193579423042,-3.460943014473674,-2.8716796248840124,-0.6165139545390295,3.075435e-4,0.4577837965,0.0228563041,0.0449,0.0447,-0.0159,-2.0000000000000573e-4,0.006999999999999999,0
