"","GOOGL.Close","AMZN.Close","AAPL.Close","MSFT.Close"
"1",52.734001159668,76.9564971923828,39.4799995422363,101.120002746582
"2",51.2734985351562,75.0139999389648,35.5475006103516,97.4000015258789
"3",53.9034996032715,78.7695007324219,37.064998626709,101.930000305176
"4",53.7960014343262,81.4755020141602,36.9824981689453,102.059997558594
"5",54.2685012817383,82.8290023803711,37.6875,102.800003051758
"6",54.0825004577637,82.9710006713867,38.3274993896484,104.269996643066
"7",53.9415016174316,82.8109970092773,38.4500007629395,103.599998474121
"8",53.2234992980957,82.0279998779297,38.0724983215332,102.800003051758
"9",52.5755004882812,80.8604965209961,37.5,102.050003051758
"10",54.3255004882812,83.7279968261719,38.2675018310547,105.01000213623
"11",54.4754981994629,84.1890029907227,38.7350006103516,105.379997253418
"12",54.9560012817383,84.661003112793,38.9650001525879,106.120002746582
"13",55.3650016784668,84.8099975585938,39.2050018310547,107.709999084473
"14",53.9314994812012,81.6084976196289,38.3250007629395,105.680000305176
"15",54.2205009460449,82.0009994506836,38.4799995422363,106.709999084473
"16",54.2000007629395,82.7464981079102,38.1749992370605,106.199996948242
"17",55.0755004882812,83.5285034179688,39.439998626709,107.169998168945
"18",53.9930000305176,81.8945007324219,39.0750007629395,105.080001831055
"19",53.5029983520508,79.6940002441406,38.6699981689453,102.940002441406
"20",54.8995018005371,83.5214996337891,41.3125,106.379997253418
"21",56.2944984436035,85.9365005493164,41.6100006103516,104.430000305176
"22",55.9309997558594,81.3115005493164,41.6300010681152,102.779998779297
"23",57.0709991455078,81.6654968261719,42.8125,105.73999786377
"24",57.5934982299805,82.9404983520508,43.5449981689453,107.220001220703
"25",56.1445007324219,82.0130004882812,43.560001373291,106.029998779297
"26",55.2955017089844,80.7184982299805,42.7350006103516,105.269996643066
"27",55.1189994812012,79.411003112793,42.6025009155273,105.669998168945
"28",55.1059989929199,79.5500030517578,42.3574981689453,105.25
"29",56.3790016174316,81.9004974365234,42.7224998474121,106.889999389648
"30",56.4314994812012,82,42.5449981689453,106.809997558594
"31",56.4599990844727,81.1324996948242,42.7000007629395,106.900001525879
"32",55.9814987182617,80.3974990844727,42.6049995422363,108.220001220703
"33",56.3255004882812,81.3789978027344,42.7324981689453,108.169998168945
"34",56.0294990539551,81.1050033569336,43.0074996948242,107.150001525879
"35",55.2104988098145,80.9720001220703,42.7649993896484,109.410003662109
"36",55.8279991149902,81.5780029296875,43.2425003051758,110.970001220703
"37",55.8665008544922,81.6500015258789,43.5574989318848,111.589996337891
"38",56.1004981994629,81.8199996948242,43.5825004577637,112.360000610352
"39",56.1445007324219,82.0544967651367,43.7174987792969,112.169998168945
"40",56.3274993896484,81.9915008544922,43.2874984741211,112.029998779297
"41",57.4259986877441,83.5865020751953,43.7425003051758,112.529998779297
"42",57.6710014343262,84.8085021972656,43.9625015258789,112.26000213623
"43",58.4594993591309,84.6214981079102,43.8824996948242,111.699996948242
"44",58.2470016479492,83.4475021362305,43.6300010681152,111.75
"45",57.5424995422363,81.2975006103516,43.125,110.389999389648
"46",57.4985008239746,81.0400009155273,43.2275009155273,110.51000213623
"47",58.9630012512207,83.5309982299805,44.7249984741211,112.830001831055
"48",59.8624992370605,83.6549987792969,45.2275009155273,113.620002746582
"49",59.9529991149902,84.5404968261719,45.4275016784668,114.5
"50",59.6264991760254,84.3109970092773,45.9324989318848,114.589996337891
"51",59.5149993896484,85.6179962158203,46.5299987792969,115.910003662109
"52",59.4275016784668,87.1074981689453,47.0050010681152,117.569999694824
"53",60.1230010986328,88.0924987792969,46.6324996948242,117.650001525879
"54",61.3214988708496,89.8635025024414,47.0400009155273,117.519996643066
"55",61.8064994812012,90.9629974365234,48.7724990844727,120.220001220703
"56",60.3824996948242,88.2385025024414,47.7625007629395,117.050003051758
"57",59.8689994812012,88.7129974365234,47.185001373291,117.660003662109
"58",59.492000579834,89.1880035400391,46.6974983215332,117.910003662109
"59",58.9005012512207,88.2850036621094,47.1175003051758,116.769996643066
"60",58.6134986877441,88.6709976196289,47.1800003051758,116.930000305176
"61",58.8445014953613,89.0374984741211,47.4874992370605,117.940002441406
"62",59.9490013122559,90.7095031738281,47.810001373291,119.019996643066
"63",60.2770004272461,90.6989974975586,48.5050010681152,119.190002441406
"64",60.5405006408691,91.0350036621094,48.8375015258789,119.970001220703
"65",60.9724998474121,90.943000793457,48.9225006103516,119.360000610352
"66",60.5724983215332,91.8639984130859,49.25,119.889999389648
"67",60.4140014648438,92.4929962158203,50.0250015258789,119.930000305176
"68",60.1344985961914,91.7919998168945,49.875,119.279998779297
"69",60.3224983215332,92.3665008544922,50.1549987792969,120.190002441406
"70",60.4794998168945,92.203498840332,49.7374992370605,120.330001831055
"71",61.1365013122559,92.1529998779297,49.7174987792969,120.949996948242
"72",61.3264999389648,92.2434997558594,49.8074989318848,121.050003051758
"73",61.5955009460449,93.1520004272461,49.8125,120.769996643066
"74",62.0069999694824,93.2409973144531,50.7825012207031,121.769996643066
"75",62.0735015869141,93.0845031738281,50.9650001525879,123.370002746582
"76",62.6879997253418,94.3655014038086,51.1324996948242,123.76000213623
"77",63.5294990539551,96.1884994506836,51.8699989318848,125.440002441406
"78",63.002498626709,95.0875015258789,51.7900009155273,125.01000213623
"79",63.367000579834,95.1125030517578,51.3199996948242,129.149993896484
"80",63.8709983825684,97.5315017700195,51.0750007629395,129.889999389648
"81",64.8099975585938,96.921501159668,51.1525001525879,129.770004272461
"82",59.9480018615723,96.3259963989258,50.1674995422363,130.600006103516
"83",58.6660003662109,95.5759963989258,52.6300010681152,127.879997253418
"84",58.3255004882812,95.0410003662109,52.2874984741211,126.209999084473
"85",59.4775009155273,98.1230010986328,52.9375,128.899993896484
"86",59.6730003356934,97.5274963378906,52.1199989318848,128.149993896484
"87",58.943000793457,96.0500030517578,50.7150001525879,125.519996643066
"88",58.5390014648438,95.8884963989258,50.7249984741211,125.51000213623
"89",58.3984985351562,94.9934997558594,50.1800003051758,125.5
"90",58.3819999694824,94.4990005493164,49.2949981689453,127.129997253418
"91",56.8294982910156,91.1340026855469,46.4300003051758,123.349998474121
"92",56.2430000305176,92.0059967041016,47.1650009155273,124.730003356934
"93",58.5400009155273,93.557502746582,47.7299995422363,126.019996643066
"94",59.2249984741211,95.3785018920898,47.5200004577637,128.929992675781
"95",58.4389991760254,93.4499969482422,47.25,128.070007324219
